,,Type,Size,Outlet,Price
Beverages,1,Water Sohat,1.5L * 6pcs,Spinneys,100$
Beverages,1,Water Sohat,1.5L * 6pcs,Carrefour,
Beverages,1,Water Sohat,1.5L * 6pcs,Marqet,
Beverages,2,Water Nestle, 2L * 6pcs,Spinneys,
Beverages,2,Water Nestle, 2L * 6pcs,Carrefour,
Beverages,2,Water Nestle, 2L * 6pcs,Marqet,
Beverages,3,Water Tannourine,0.5L * 12pcs,Spinneys,
Beverages,3,Water Tannourine,0.5L * 12pcs,Carrefour,
Beverages,3,Water Tannourine,0.5L * 12pcs,Marqet,
Beverages,4,Milk Candia,1L * 1pc,Spinneys,
Beverages,4,Milk Candia,1L * 1pc,Carrefour,
Beverages,4,Milk Candia,1L * 1pc,Marqet,
Food,5,Labneh Taanayel Baladeh,0.5kg * 1pc,Spinneys,
Food,5,Labneh Taanayel Baladeh,0.5kg * 1pc,Carrefour,
Food,5,Labneh Taanayel Baladeh,0.5kg * 1pc,Marqet,
Food,6,Picon,120g* 6pcs,Spinneys,
Food,6,Picon,120g* 6pcs,Carrefour,
Food,6,Picon,120g* 6pcs,Marqet,
Food,7,Kiri,100g*6pcs,Spinneys,
Food,7,Kiri,100g*6pcs,Carrefour,
Food,7,Kiri,100g*6pcs,Marqet,
,8,Mayounnaise Plein Soleil,450ml*1pc,Spinneys,
,8,Mayounnaise Plein Soleil,450ml*1pc,Carrefour,
,8,Mayounnaise Plein Soleil,450ml*1pc,Marqet,
,9,Mayounnaise Heinz Light,400ml*1pc,Spinneys,
,9,Mayounnaise Heinz Light,400ml*1pc,Carrefour,
,9,Mayounnaise Heinz Light,400ml*1pc,Marqet,
,10,Tuna Plein Soleil in water,185g*1pc,Spinneys,
,10,Tuna Plein Soleil in water,185g*1pc,Carrefour,
,10,Tuna Plein Soleil in water,185g*1pc,Marqet,
,11,Oil Plein Soleil ,1.8L*1pc,Spinneys,
,11,Oil Plein Soleil ,1.8L*1pc,Carrefour,
,11,Oil Plein Soleil ,1.8L*1pc,Marqet,
,12,Oil Mazola,3L*1pc,Spinneys,
,12,Oil Mazola,3L*1pc,Carrefour,
,12,Oil Mazola,3L*1pc,Marqet,
,13,Chicken Escalope ,,Spinneys,
,13,Chicken Escalope ,,Carrefour,
,13,Chicken Escalope ,,Marqet,
,14,Beef Burger,,Spinneys,
,14,Beef Burger,,Carrefour,
,14,Beef Burger,,Marqet,
,15,Local Tomato ,1kg,,
,15,Local Tomato ,1kg,,
,15,Local Tomato ,1kg,,
,16,Local Cucumber,1kg,,
,16,Local Cucumber,1kg,,
,16,Local Cucumber,1kg,,
,17,Local Potato,1kg,,
,17,Local Potato,1kg,,
,17,Local Potato,1kg,,
